record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.016083,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.24,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
3,Load_Recovery_Image,PASS,PASS,,PASS,10.69,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
4,Load_LFS_EXT_Asset,PASS,PASS,,PASS,86.19,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
5,Flash_STLink,PASS,PASS,,PASS,34.27,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
6,FW_Version,2023.15.101,2023.15.101,,2023.15.101,4.071617,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
7,Hw_Version,Solar,Solar,,Solar,3.062347,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
8,lte_modem_status,PASS,PASS,,PASS,12.067114,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
9,temp_by_mcu_sensor_Vbatt,15,35,C,29.000,3.077990,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
10,Power_Rail_Enable,PASS,PASS,,PASS,4.082815,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
11,Voltage_PP4V2_SYS,3.55,3.85,V,3.681110,0.247260,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
12,Voltage_PP1V8_LDO,1.782,1.818,V,1.812170,0.245244,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
13,Voltage_PP5V0,4.85,5.15,V,5.010910,0.256936,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
14,Voltage_DUT_PP12V0_BOOST,11.493,12.395,V,12.045141,0.245583,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
15,Voltage_DUT_PP12V0,10.783,11.995,V,11.785276,0.245672,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
16,nor_flash,PASS,PASS,,PASS,6.080128,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
17,lock_status,PASS,PASS,,PASS,5.065003,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
18,TEST_Clowlock_Lock,PASS,PASS,,PASS,0.320190,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
19,unlock_status,PASS,PASS,,PASS,5.069264,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
20,TEST_Clowlock_Unlock,PASS,PASS,,PASS,0.321404,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
21,triangle_nfc,PASS,PASS,,PASS,4.085233,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
22,ui_nfc,PASS,PASS,,PASS,4.096769,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
23,speaker,PASS,PASS,,PASS,4.195181,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
24,flip_dot,PASS,PASS,,PASS,3.469702,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
25,se,PASS,PASS,,PASS,8.107734,PASS,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
26,Can_Data,PASS,PASS,,FAIL,5.979629,FAIL,FAIL,101072,FK2316MMBP2AA0040,2023-04-24 18:31:27,2023-04-24 18:35:55,STT234MM01,monolith_main_bft,10023100
