record_index,test_name,lower_limit,upper_limit,units,test_value,test_time(s),pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Chargingactivation,PASS,PASS,,PASS,14.5,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
2,PreDischarge,PASS,PASS,,PASS,19.9,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
3,PreDischargeShortCircuit,PASS,PASS,,PASS,14.5,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
4,Sleep,PASS,PASS,,PASS,1.2,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
5,Active,PASS,PASS,,PASS,3,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
6,ZVersion,2024,2024,,2024,1.2,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
7,CVersion,15,15,,15,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
8,BDVersion,100,100,,100,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
9,Temp1,-30,30,C,26,1.2,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
10,Temp2,-30,30,C,24,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
11,Temp3,-30,30,C,26,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
12,Temp4,-30,30,C,27,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
13,Temp5,-30,30,C,27,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
14,Temp6,-30,30,C,26,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
15,Temp7,-30,30,C,26,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
16,Temp8,-30,30,C,26,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
