record_index,test_name,lower_limit,upper_limit,units,test_value,test_time(s),pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
17,Temp9,-30,30,C,24,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
18,Temp10,-30,30,C,26,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
19,TempOff1,0,5,C,0.600000000000001,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
20,TempOff2,0,5,C,1.4,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
21,TempOff3,0,5,C,0.600000000000001,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
22,TempOff4,0,5,C,1.6,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
23,TempOff5,0,5,C,1.6,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
24,TempOff6,0,5,C,0.600000000000001,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
25,TempOff7,0,5,C,0.600000000000001,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
26,TempOff8,0,5,C,0.600000000000001,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
27,TempOff9,0,5,C,1.4,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
28,TempOff10,0,5,C,0.600000000000001,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
29,Temp,16,30,C,25,0.5,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
30,Hum,10,90,%,46.8,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
31,OV,37900,38100,mA,38001,1.3,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
32,SCC_Cell1,0,3,uA,1.06,17.9,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
33,SCC_Cell2,0,3,uA,1.47,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
34,SCC_Cell3,0,3,uA,1.42,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
35,SCC_Cell4,0,6,uA,2.55,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
36,SCC_Cell5,0,6,uA,2.48,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
37,SCC_Cell6,0,6,uA,3.3,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
38,SCC_Cell7,0,6,uA,2.83,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
39,SCC_Cell8,0,6,uA,3.01,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
40,SCC_Cell9,0,6,uA,2.77,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
41,SCC_Cell10,2000,5000,uA,3417.28,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
42,5V,4900,5100,mV,4993.89,0.2,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
43,3V3,3200,3400,mV,3293.99,0.2,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
44,TotalVoltB,37900,38100,mV,38001,0.9,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
45,WAKEvolt,2200,2500,mV,2326.33,0.2,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
46,Cell1,3790,3810,mV,3790,0.8,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
47,Cell2,3790,3810,mV,3798,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
48,Cell3,3790,3810,mV,3798,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
49,Cell4,3790,3810,mV,3799,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
50,Cell5,3790,3810,mV,3796,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
51,Cell6,3790,3810,mV,3796,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
52,Cell7,3790,3810,mV,3796,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
53,Cell8,3790,3810,mV,3798,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
54,Cell9,3790,3810,mV,3798,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
55,Cell10,3790,3810,mV,3798,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
56,ChargerNTC,2850,3150,mV,2960,1.9,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
57,CHG_TEST,400,600,mA,499.64,16.1,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
58,DisCH_TEST,400,600,mA,499.64,11,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
59,active2,PASS,PASS,,PASS,3.2,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
60,CUV1,500,3000,mS,2186,91.5,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
61,CUV2,500,3000,mS,2055,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
62,CUV3,500,3000,mS,2056,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
63,CUV4,500,3000,mS,2188,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
64,CUV5,500,3000,mS,2097,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
65,CUV6,500,3000,mS,2053,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
66,CUV7,500,3000,mS,2143,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
67,CUV8,500,3000,mS,2207,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
68,CUV9,500,3000,mS,2184,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
69,CUV10,500,3000,mS,2114,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
70,COV1,500,3000,mS,2063,106.4,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
71,COV2,500,3000,mS,2087,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
72,COV3,500,3000,mS,2113,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
73,COV4,500,3000,mS,2104,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
74,COV5,500,3000,mS,2058,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
75,COV6,500,3000,mS,2170,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
76,COV7,500,3000,mS,2187,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
77,COV8,500,3000,mS,2142,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
78,COV9,500,3000,mS,2189,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
79,COV10,500,3000,mS,2217,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
80,SCOV1,500,2000,mS,1227,31.9,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
81,SCOV2,500,2000,mS,1273,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
82,SCOV3,500,2000,mS,1232,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
83,SCOV4,500,2000,mS,1179,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
84,SCOV5,500,2000,mS,1170,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
85,SCOV6,500,2000,mS,1159,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
86,SCOV7,500,2000,mS,1181,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
87,SCOV8,500,2000,mS,1176,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
88,SCOV9,500,2000,mS,1121,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
89,SCOV10,500,2000,mS,1182,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
90,SCUV1,500,2000,mS,1220,32.6,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
91,SCUV2,500,2000,mS,1289,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
92,SCUV3,500,2000,mS,1156,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
93,SCUV4,500,2000,mS,1136,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
94,SCUV5,500,2000,mS,1181,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
95,SCUV6,500,2000,mS,1072,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
96,SCUV7,500,2000,mS,1107,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
97,SCUV8,500,2000,mS,1082,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
98,SCUV9,500,2000,mS,1140,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
99,SCUV10,500,2000,mS,1196,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
100,STemp,PASS,PASS,,PASS,9.5,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
101,Clear_faults,PASS,PASS,,PASS,1.2,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
102,AFEPF,PASS,PASS,,PASS,18.8,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
103,MCUPF,PASS,PASS,,PASS,20.6,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
104,CellCurr1,16,19,mA,17.73,99.4,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
105,CellCurr2,16,19,mA,17.46,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
106,CellCurr3,16,19,mA,17.29,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
107,CellCurr4,16,19,mA,17.44,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
108,CellCurr5,16,19,mA,17.49,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
109,CellCurr6,16,19,mA,17.51,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
110,CellCurr7,16,19,mA,16.01,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
111,CellCurr8,16,19,mA,17.35,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
112,CellCurr9,16,19,mA,17.42,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
113,CellCurr10,16,19,mA,17.91,0,PASS,PASS,0,C826DEDF-7113-4E02-895A-E72ABB19CBEC,12345678900987654,2024-04-29 21:48:41,2024-04-29 21:58:08,Maple-BHBCS-3,D350S-240300004-011-01,20180403002
