record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,MES_101_Command_Send,PASS,PASS,,PASS,0.016116,PASS,PASS,0,ABBB9A21-F5E7-4E9B-BBBC-C841690CABAA,FK2336MMBP3AA0411,2023-09-15 13:33:11,2023-09-15 13:36:18,STT239MM01,monolith_main_bft,10023100
2,Unlock_MCU_Write_Protect,PASS,PASS,,PASS,0.23,PASS,PASS,0,ABBB9A21-F5E7-4E9B-BBBC-C841690CABAA,FK2336MMBP3AA0411,2023-09-15 13:33:11,2023-09-15 13:36:18,STT239MM01,monolith_main_bft,10023100
3,Flash_STLink,PASS,PASS,,PASS,9.14,PASS,PASS,0,ABBB9A21-F5E7-4E9B-BBBC-C841690CABAA,FK2336MMBP3AA0411,2023-09-15 13:33:11,2023-09-15 13:36:18,STT239MM01,monolith_main_bft,10023100
4,FW_Version,2023.34.102,2023.34.102,,2023.34.102,2.701418,PASS,PASS,0,ABBB9A21-F5E7-4E9B-BBBC-C841690CABAA,FK2336MMBP3AA0411,2023-09-15 13:33:11,2023-09-15 13:36:18,STT239MM01,monolith_main_bft,10023100
5,Hw_Version,Solar,Solar,,Solar,2.687625,PASS,PASS,0,ABBB9A21-F5E7-4E9B-BBBC-C841690CABAA,FK2336MMBP3AA0411,2023-09-15 13:33:11,2023-09-15 13:36:18,STT239MM01,monolith_main_bft,10023100
6,Vbat,PASS,PASS,,PASS,2.887168,PASS,PASS,0,ABBB9A21-F5E7-4E9B-BBBC-C841690CABAA,FK2336MMBP3AA0411,2023-09-15 13:33:11,2023-09-15 13:36:18,STT239MM01,monolith_main_bft,10023100
7,lte_modem_status,PASS,PASS,,PASS,3.006703,PASS,PASS,0,ABBB9A21-F5E7-4E9B-BBBC-C841690CABAA,FK2336MMBP3AA0411,2023-09-15 13:33:11,2023-09-15 13:36:18,STT239MM01,monolith_main_bft,10023100
8,temp_by_mcu_sensor_Vbatt,10,40,C,29.000,2.510185,PASS,PASS,0,ABBB9A21-F5E7-4E9B-BBBC-C841690CABAA,FK2336MMBP3AA0411,2023-09-15 13:33:11,2023-09-15 13:36:18,STT239MM01,monolith_main_bft,10023100
9,Power_Rail_Enable,PASS,PASS,,PASS,2.838758,PASS,PASS,0,ABBB9A21-F5E7-4E9B-BBBC-C841690CABAA,FK2336MMBP3AA0411,2023-09-15 13:33:11,2023-09-15 13:36:18,STT239MM01,monolith_main_bft,10023100
10,Voltage_PP4V2_SYS,3.6,3.8,V,3.688860,0.248871,PASS,PASS,0,ABBB9A21-F5E7-4E9B-BBBC-C841690CABAA,FK2336MMBP3AA0411,2023-09-15 13:33:11,2023-09-15 13:36:18,STT239MM01,monolith_main_bft,10023100
11,Voltage_PP1V8_LDO,1.75,1.85,V,1.798420,0.245061,PASS,PASS,0,ABBB9A21-F5E7-4E9B-BBBC-C841690CABAA,FK2336MMBP3AA0411,2023-09-15 13:33:11,2023-09-15 13:36:18,STT239MM01,monolith_main_bft,10023100
12,Voltage_PP5V0,4.85,5.15,V,4.993830,0.246561,PASS,PASS,0,ABBB9A21-F5E7-4E9B-BBBC-C841690CABAA,FK2336MMBP3AA0411,2023-09-15 13:33:11,2023-09-15 13:36:18,STT239MM01,monolith_main_bft,10023100
