record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,Human_Check_Solar_L_ON,PASS,PASS,,PASS,2.519562,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
2,opmode_force_dev_mode,PASS,PASS,,PASS,1.279266,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
3,opmode_get_state,PASS,PASS,,PASS,1.162323,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
4,Recovery_port_check,PASS,PASS,,PASS,1.150343,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
5,FW_Version,2023.34.102,2023.34.102,,2023.34.102,0.958451,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.973444,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.139349,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.206299,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
9,TST_Battery2_V,3.7,4.1,V,4.014,0.000000,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
10,TST_Battery2_C,-10000,200000,uA,091600.0,0.000000,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
11,BQ_charger_OFF,PASS,PASS,,PASS,1.163336,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
12,TST_Battery1,PASS,PASS,,PASS,1.176329,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
13,TST_Battery1_V,3.7,4.1,V,3.916,0.000000,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
14,TST_Battery1_C,-10000,200000,uA,059040.0,0.000000,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
15,TST_Solar_L,PASS,PASS,,PASS,1.203293,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
16,TEST_Solar_L_Voltage,5,8,V,6.282,0.000000,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
17,TEST_Solar_L_Current,13000,70000,uA,43758.000,0.000000,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
18,Human_Check_Solar_L_OFF,PASS,PASS,,PASS,1.212308,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
19,Human_Check_Solar_R_ON,PASS,PASS,,PASS,0.732562,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
20,TST_Solar_R,PASS,PASS,,PASS,1.189322,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
21,TEST_Solar_R_Voltage,5,8,V,6.268,0.000000,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
22,TEST_Solar_R_Current,13000,70000,uA,44176.000,0.000000,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
23,Human_Check_Solar_R_OFF,PASS,PASS,,PASS,1.151655,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
24,BQ_charger_ON,PASS,PASS,,PASS,2.010852,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
25,Temp_with_rp_charge,10,40,C,24.000,1.195306,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
26,ClawLock_unlock_cmd_send,PASS,PASS,,PASS,1.136352,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
27,ClawLock_Is_Unlock,PASS,PASS,,PASS,1.199307,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
28,Triangle_NFC_Insert,PASS,PASS,,PASS,5.187028,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
29,ClawLock_lock_cmd_send,PASS,PASS,,PASS,1.158343,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
30,ClawLock_Is_lock,PASS,PASS,,PASS,1.209295,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
31,Human_Check_ClawLOCK_Lock,PASS,PASS,,PASS,3.374075,PASS,PASS,0,D1F43F4B-451D-4520-B202-7ACE49067382,FK2342MFAT3AB0075,2023-10-17 14:00:01,2023-10-17 14:03:02,STA23AYM5302,monolith_bollard_ft,10023020
